"subject" "activity" "variable" "average"
"34" 1 "LAYING" "tGravityAccMag-std()" -0.79514486386
"35" 1 "LAYING" "tBodyAccJerkMag-mean()" -0.9543962646
"36" 1 "LAYING" "tBodyAccJerkMag-std()" -0.9282456284
"37" 1 "LAYING" "tBodyGyroMag-mean()" -0.874759548
"38" 1 "LAYING" "tBodyGyroMag-std()" -0.81901016976
"39" 1 "LAYING" "tBodyGyroJerkMag-mean()" -0.96346103
"40" 1 "LAYING" "tBodyGyroJerkMag-std()" -0.9358409828
"41" 1 "LAYING" "fBodyAcc-mean()-X" -0.9390990524
"42" 1 "LAYING" "fBodyAcc-mean()-Y" -0.86706520518
"43" 1 "LAYING" "fBodyAcc-mean()-Z" -0.8826668762
"44" 1 "LAYING" "fBodyAcc-std()-X" -0.9244374346
"45" 1 "LAYING" "fBodyAcc-std()-Y" -0.8336255561
"46" 1 "LAYING" "fBodyAcc-std()-Z" -0.81289155944
"47" 1 "LAYING" "fBodyAccJerk-mean()-X" -0.9570738838
"48" 1 "LAYING" "fBodyAccJerk-mean()-Y" -0.9224626098
"49" 1 "LAYING" "fBodyAccJerk-mean()-Z" -0.9480609042
"50" 1 "LAYING" "fBodyAccJerk-std()-X" -0.9641607086
"51" 1 "LAYING" "fBodyAccJerk-std()-Y" -0.9322178704
"52" 1 "LAYING" "fBodyAccJerk-std()-Z" -0.9605869872
"53" 1 "LAYING" "fBodyGyro-mean()-X" -0.850249174586
"54" 1 "LAYING" "fBodyGyro-mean()-Y" -0.9521914948
"55" 1 "LAYING" "fBodyGyro-mean()-Z" -0.909302721
"56" 1 "LAYING" "fBodyGyro-std()-X" -0.8822964508
"57" 1 "LAYING" "fBodyGyro-std()-Y" -0.9512320494
"58" 1 "LAYING" "fBodyGyro-std()-Z" -0.9165825082
"59" 1 "LAYING" "fBodyAccMag-mean()" -0.8617676481
"60" 1 "LAYING" "fBodyAccMag-std()" -0.7983009404
"61" 1 "LAYING" "fBodyBodyAccJerkMag-mean()" -0.9333003608
"62" 1 "LAYING" "fBodyBodyAccJerkMag-std()" -0.9218039756
"63" 1 "LAYING" "fBodyBodyGyroMag-mean()" -0.8621901854
"64" 1 "LAYING" "fBodyBodyGyroMag-std()" -0.82431943968
"65" 1 "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.9423669466
"66" 1 "LAYING" "fBodyBodyGyroJerkMag-std()" -0.9326606676
"67" 1 "SITTING" "tBodyAcc-mean()-X" 0.261237565425532
"68" 1 "SITTING" "tBodyAcc-mean()-Y" -0.00130828765170213
"69" 1 "SITTING" "tBodyAcc-mean()-Z" -0.104544182255319
"70" 1 "SITTING" "tBodyAcc-std()-X" -0.977229008297872
"71" 1 "SITTING" "tBodyAcc-std()-Y" -0.922618641914894
"72" 1 "SITTING" "tBodyAcc-std()-Z" -0.93958629106383
"73" 1 "SITTING" "tGravityAcc-mean()-X" 0.831509933404255
"74" 1 "SITTING" "tGravityAcc-mean()-Y" 0.204411592680851
"75" 1 "SITTING" "tGravityAcc-mean()-Z" 0.332043702765957
"76" 1 "SITTING" "tGravityAcc-std()-X" -0.968457145744681
"77" 1 "SITTING" "tGravityAcc-std()-Y" -0.935517055957447
"78" 1 "SITTING" "tGravityAcc-std()-Z" -0.949040933191489
"79" 1 "SITTING" "tBodyAccJerk-mean()-X" 0.0774825199574468
"80" 1 "SITTING" "tBodyAccJerk-mean()-Y" -0.000619102785106384
"81" 1 "SITTING" "tBodyAccJerk-mean()-Z" -0.00336779235021277
"82" 1 "SITTING" "tBodyAccJerk-std()-X" -0.986430711276596
"83" 1 "SITTING" "tBodyAccJerk-std()-Y" -0.981371965319149
"84" 1 "SITTING" "tBodyAccJerk-std()-Z" -0.987910804468085
"85" 1 "SITTING" "tBodyGyro-mean()-X" -0.045350056512766
"86" 1 "SITTING" "tBodyGyro-mean()-Y" -0.0919241549361702
"87" 1 "SITTING" "tBodyGyro-mean()-Z" 0.0629313811914894
"88" 1 "SITTING" "tBodyGyro-std()-X" -0.977211283191489
"89" 1 "SITTING" "tBodyGyro-std()-Y" -0.966473895319149
"90" 1 "SITTING" "tBodyGyro-std()-Z" -0.941425920851064
"91" 1 "SITTING" "tBodyGyroJerk-mean()-X" -0.0936793807234043
"92" 1 "SITTING" "tBodyGyroJerk-mean()-Y" -0.0402118124255319
"93" 1 "SITTING" "tBodyGyroJerk-mean()-Z" -0.046702627
"94" 1 "SITTING" "tBodyGyroJerk-std()-X" -0.99173159212766
"95" 1 "SITTING" "tBodyGyroJerk-std()-Y" -0.989518068510638
"96" 1 "SITTING" "tBodyGyroJerk-std()-Z" -0.987935806382979
"97" 1 "SITTING" "tBodyAccMag-mean()" -0.948536786170213
"98" 1 "SITTING" "tBodyAccMag-std()" -0.927078418723404
"99" 1 "SITTING" "tGravityAccMag-mean()" -0.948536786170213
"100" 1 "SITTING" "tGravityAccMag-std()" -0.927078418723404
"101" 1 "SITTING" "tBodyAccJerkMag-mean()" -0.987364195531915
"102" 1 "SITTING" "tBodyAccJerkMag-std()" -0.984120024042553
"103" 1 "SITTING" "tBodyGyroMag-mean()" -0.93089249
"104" 1 "SITTING" "tBodyGyroMag-std()" -0.934531840425532
"105" 1 "SITTING" "tBodyGyroJerkMag-mean()" -0.991976341276596
"106" 1 "SITTING" "tBodyGyroJerkMag-std()" -0.988308728510638
"107" 1 "SITTING" "fBodyAcc-mean()-X" -0.979641238723404
"108" 1 "SITTING" "fBodyAcc-mean()-Y" -0.944084550425532
"109" 1 "SITTING" "fBodyAcc-mean()-Z" -0.959184889148936
"110" 1 "SITTING" "fBodyAcc-std()-X" -0.976412313191489
"111" 1 "SITTING" "fBodyAcc-std()-Y" -0.917275006382979
"112" 1 "SITTING" "fBodyAcc-std()-Z" -0.934469558085106
"113" 1 "SITTING" "fBodyAccJerk-mean()-X" -0.986597022553191
"114" 1 "SITTING" "fBodyAccJerk-mean()-Y" -0.981579467021277
"115" 1 "SITTING" "fBodyAccJerk-mean()-Z" -0.986053092340425
"116" 1 "SITTING" "fBodyAccJerk-std()-X" -0.987492994468085
"117" 1 "SITTING" "fBodyAccJerk-std()-Y" -0.982513909574468
"118" 1 "SITTING" "fBodyAccJerk-std()-Z" -0.988339184893617
"119" 1 "SITTING" "fBodyGyro-mean()-X" -0.976161464042553
"120" 1 "SITTING" "fBodyGyro-mean()-Y" -0.975838585319149
"121" 1 "SITTING" "fBodyGyro-mean()-Z" -0.951315544468085
"122" 1 "SITTING" "fBodyGyro-std()-X" -0.977904227021277
"123" 1 "SITTING" "fBodyGyro-std()-Y" -0.962345042553192
"124" 1 "SITTING" "fBodyGyro-std()-Z" -0.94391784106383
"125" 1 "SITTING" "fBodyAccMag-mean()" -0.947782922553192
"126" 1 "SITTING" "fBodyAccMag-std()" -0.928444801702128
"127" 1 "SITTING" "fBodyBodyAccJerkMag-mean()" -0.985262126808511
"128" 1 "SITTING" "fBodyBodyAccJerkMag-std()" -0.981606177446808
"129" 1 "SITTING" "fBodyBodyGyroMag-mean()" -0.958435589361702
"130" 1 "SITTING" "fBodyBodyGyroMag-std()" -0.932198374893617
"131" 1 "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.989797547234043
"132" 1 "SITTING" "fBodyBodyGyroJerkMag-std()" -0.987049617234043
"133" 1 "STANDING" "tBodyAcc-mean()-X" 0.278917629056604
"134" 1 "STANDING" "tBodyAcc-mean()-Y" -0.0161375901037736
"135" 1 "STANDING" "tBodyAcc-mean()-Z" -0.110601817735849
"136" 1 "STANDING" "tBodyAcc-std()-X" -0.995759901509434
"137" 1 "STANDING" "tBodyAcc-std()-Y" -0.973190056415094
"138" 1 "STANDING" "tBodyAcc-std()-Z" -0.979775876981132
"139" 1 "STANDING" "tGravityAcc-mean()-X" 0.942952000377358
"140" 1 "STANDING" "tGravityAcc-mean()-Y" -0.272983832264151
"141" 1 "STANDING" "tGravityAcc-mean()-Z" 0.0134905823226415
"142" 1 "STANDING" "tGravityAcc-std()-X" -0.99376298509434
"143" 1 "STANDING" "tGravityAcc-std()-Y" -0.981225957924528
"144" 1 "STANDING" "tGravityAcc-std()-Z" -0.976324063584906
"145" 1 "STANDING" "tBodyAccJerk-mean()-X" 0.0753766542264151
"146" 1 "STANDING" "tBodyAccJerk-mean()-Y" 0.00797573092830189
"147" 1 "STANDING" "tBodyAccJerk-mean()-Z" -0.00368524954709434
"148" 1 "STANDING" "tBodyAccJerk-std()-X" -0.994604542264151
"149" 1 "STANDING" "tBodyAccJerk-std()-Y" -0.98564873245283
"150" 1 "STANDING" "tBodyAccJerk-std()-Z" -0.992251177358491
"151" 1 "STANDING" "tBodyGyro-mean()-X" -0.0239877347979245
"152" 1 "STANDING" "tBodyGyro-mean()-Y" -0.0593972209811321
"153" 1 "STANDING" "tBodyGyro-mean()-Z" 0.074800751
"154" 1 "STANDING" "tBodyGyro-std()-X" -0.987191946603774
"155" 1 "STANDING" "tBodyGyro-std()-Y" -0.98773444
"156" 1 "STANDING" "tBodyGyro-std()-Z" -0.980645626981132
"157" 1 "STANDING" "tBodyGyroJerk-mean()-X" -0.0996092129056604
"158" 1 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0440627877924528
"159" 1 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0489505466716981
"160" 1 "STANDING" "tBodyGyroJerk-std()-X" -0.992945106981132
"161" 1 "STANDING" "tBodyGyroJerk-std()-Y" -0.995137917358491
"162" 1 "STANDING" "tBodyGyroJerk-std()-Z" -0.992108467169811
"163" 1 "STANDING" "tBodyAccMag-mean()" -0.984278207358491
"164" 1 "STANDING" "tBodyAccMag-std()" -0.981942928867925
"165" 1 "STANDING" "tGravityAccMag-mean()" -0.984278207358491
"166" 1 "STANDING" "tGravityAccMag-std()" -0.981942928867925
"167" 1 "STANDING" "tBodyAccJerkMag-mean()" -0.992367790566038
"168" 1 "STANDING" "tBodyAccJerkMag-std()" -0.993096209433962
"169" 1 "STANDING" "tBodyGyroMag-mean()" -0.976493792830189
"170" 1 "STANDING" "tBodyGyroMag-std()" -0.978690028679245
"171" 1 "STANDING" "tBodyGyroJerkMag-mean()" -0.994966790566038
"172" 1 "STANDING" "tBodyGyroJerkMag-std()" -0.994733238679245
"173" 1 "STANDING" "fBodyAcc-mean()-X" -0.995249932641509
"174" 1 "STANDING" "fBodyAcc-mean()-Y" -0.977070847735849
"175" 1 "STANDING" "fBodyAcc-mean()-Z" -0.985297098679245
"176" 1 "STANDING" "fBodyAcc-std()-X" -0.99602834509434
"177" 1 "STANDING" "fBodyAcc-std()-Y" -0.972293102075472
"178" 1 "STANDING" "fBodyAcc-std()-Z" -0.977937259622642
"179" 1 "STANDING" "fBodyAccJerk-mean()-X" -0.994630797358491
"180" 1 "STANDING" "fBodyAccJerk-mean()-Y" -0.985418704528302
"181" 1 "STANDING" "fBodyAccJerk-mean()-Z" -0.990752166037736
"182" 1 "STANDING" "fBodyAccJerk-std()-X" -0.995073759245283
"183" 1 "STANDING" "fBodyAccJerk-std()-Y" -0.987018226792453
"184" 1 "STANDING" "fBodyAccJerk-std()-Z" -0.992349818113208
"185" 1 "STANDING" "fBodyGyro-mean()-X" -0.986386786037736
"186" 1 "STANDING" "fBodyGyro-mean()-Y" -0.988984455849057
"187" 1 "STANDING" "fBodyGyro-mean()-Z" -0.980773122830189
"188" 1 "STANDING" "fBodyGyro-std()-X" -0.987497128679245
"189" 1 "STANDING" "fBodyGyro-std()-Y" -0.987107727735849
"190" 1 "STANDING" "fBodyGyro-std()-Z" -0.98234533
"191" 1 "STANDING" "fBodyAccMag-mean()" -0.985356361132075
"192" 1 "STANDING" "fBodyAccMag-std()" -0.982313804716981
"193" 1 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.99254247754717
"194" 1 "STANDING" "fBodyBodyAccJerkMag-std()" -0.992536003396226
"195" 1 "STANDING" "fBodyBodyGyroMag-mean()" -0.984617623396226
"196" 1 "STANDING" "fBodyBodyGyroMag-std()" -0.978466072075472
"197" 1 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.994815376981132
"198" 1 "STANDING" "fBodyBodyGyroJerkMag-std()" -0.994671123207547
"199" 1 "WALKING" "tBodyAcc-mean()-X" 0.277330758736842
"200" 1 "WALKING" "tBodyAcc-mean()-Y" -0.0173838185273684
"201" 1 "WALKING" "tBodyAcc-mean()-Z" -0.111148103547368
"202" 1 "WALKING" "tBodyAcc-std()-X" -0.283740258842105
"203" 1 "WALKING" "tBodyAcc-std()-Y" 0.114461336747368
"204" 1 "WALKING" "tBodyAcc-std()-Z" -0.260027902210526
"205" 1 "WALKING" "tGravityAcc-mean()-X" 0.935223201473684
"206" 1 "WALKING" "tGravityAcc-mean()-Y" -0.282165021263158
"207" 1 "WALKING" "tGravityAcc-mean()-Z" -0.068102864
"208" 1 "WALKING" "tGravityAcc-std()-X" -0.976609642526316
"209" 1 "WALKING" "tGravityAcc-std()-Y" -0.971305961473684
"210" 1 "WALKING" "tGravityAcc-std()-Z" -0.947717226105263
"211" 1 "WALKING" "tBodyAccJerk-mean()-X" 0.0740416333157895
"212" 1 "WALKING" "tBodyAccJerk-mean()-Y" 0.0282721095884211
"213" 1 "WALKING" "tBodyAccJerk-mean()-Z" -0.00416840617789474
"214" 1 "WALKING" "tBodyAccJerk-std()-X" -0.113615602435789
"215" 1 "WALKING" "tBodyAccJerk-std()-Y" 0.0670025007684211
"216" 1 "WALKING" "tBodyAccJerk-std()-Z" -0.502699788526316
"217" 1 "WALKING" "tBodyGyro-mean()-X" -0.041830963526
"218" 1 "WALKING" "tBodyGyro-mean()-Y" -0.0695300462115789
"219" 1 "WALKING" "tBodyGyro-mean()-Z" 0.0849448173042105
"220" 1 "WALKING" "tBodyGyro-std()-X" -0.473535485894737
"221" 1 "WALKING" "tBodyGyro-std()-Y" -0.0546077686594737
"222" 1 "WALKING" "tBodyGyro-std()-Z" -0.344266629473684
"223" 1 "WALKING" "tBodyGyroJerk-mean()-X" -0.0899975423705263
"224" 1 "WALKING" "tBodyGyroJerk-mean()-Y" -0.0398428709463158
"225" 1 "WALKING" "tBodyGyroJerk-mean()-Z" -0.0461309295021053
"226" 1 "WALKING" "tBodyGyroJerk-std()-X" -0.207421854757895
"227" 1 "WALKING" "tBodyGyroJerk-std()-Y" -0.304468510631579
"228" 1 "WALKING" "tBodyGyroJerk-std()-Z" -0.404255452631579
"229" 1 "WALKING" "tBodyAccMag-mean()" -0.136971176556842
"230" 1 "WALKING" "tBodyAccMag-std()" -0.219688645631579
"231" 1 "WALKING" "tGravityAccMag-mean()" -0.136971176556842
"232" 1 "WALKING" "tGravityAccMag-std()" -0.219688645631579
"233" 1 "WALKING" "tBodyAccJerkMag-mean()" -0.141428809031579
"234" 1 "WALKING" "tBodyAccJerkMag-std()" -0.0744717500625263
"235" 1 "WALKING" "tBodyGyroMag-mean()" -0.160979552536842
"236" 1 "WALKING" "tBodyGyroMag-std()" -0.186978364526316
"237" 1 "WALKING" "tBodyGyroJerkMag-mean()" -0.298703679084211
"238" 1 "WALKING" "tBodyGyroJerkMag-std()" -0.325324878894737
"239" 1 "WALKING" "fBodyAcc-mean()-X" -0.202794306326316
"240" 1 "WALKING" "fBodyAcc-mean()-Y" 0.0897127264021053
"241" 1 "WALKING" "fBodyAcc-mean()-Z" -0.331560117789474
"242" 1 "WALKING" "fBodyAcc-std()-X" -0.319134719578947
"243" 1 "WALKING" "fBodyAcc-std()-Y" 0.056040006846
"244" 1 "WALKING" "fBodyAcc-std()-Z" -0.279686751494737
"245" 1 "WALKING" "fBodyAccJerk-mean()-X" -0.170546964549579
"246" 1 "WALKING" "fBodyAccJerk-mean()-Y" -0.0352255241130632
"247" 1 "WALKING" "fBodyAccJerk-mean()-Z" -0.468999224631579
"248" 1 "WALKING" "fBodyAccJerk-std()-X" -0.133586606326316
"249" 1 "WALKING" "fBodyAccJerk-std()-Y" 0.106739857136
"250" 1 "WALKING" "fBodyAccJerk-std()-Z" -0.534713440421053
"251" 1 "WALKING" "fBodyGyro-mean()-X" -0.339032197115789
"252" 1 "WALKING" "fBodyGyro-mean()-Y" -0.103059416434737
"253" 1 "WALKING" "fBodyGyro-mean()-Z" -0.255940940315789
"254" 1 "WALKING" "fBodyGyro-std()-X" -0.516691938736842
"255" 1 "WALKING" "fBodyGyro-std()-Y" -0.0335081597884211
"256" 1 "WALKING" "fBodyGyro-std()-Z" -0.436562227473684
"257" 1 "WALKING" "fBodyAccMag-mean()" -0.128623450629474
"258" 1 "WALKING" "fBodyAccMag-std()" -0.398032586842105
"259" 1 "WALKING" "fBodyBodyAccJerkMag-mean()" -0.0571194000343158
"260" 1 "WALKING" "fBodyBodyAccJerkMag-std()" -0.103492403002105
"261" 1 "WALKING" "fBodyBodyGyroMag-mean()" -0.199252568986316
"262" 1 "WALKING" "fBodyBodyGyroMag-std()" -0.321017953894737
"263" 1 "WALKING" "fBodyBodyGyroJerkMag-mean()" -0.319308593778947
"264" 1 "WALKING" "fBodyBodyGyroJerkMag-std()" -0.381601911789474
"265" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-X" 0.289188320408163
"266" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Y" -0.00991850461020408
"267" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-mean()-Z" -0.107566190908163
"268" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-X" 0.0300353383483878
"269" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Y" -0.0319359434489796
"270" 1 "WALKING_DOWNSTAIRS" "tBodyAcc-std()-Z" -0.230434213204082
"271" 1 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-X" 0.931874418979592
"272" 1 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Y" -0.266610338979592
"273" 1 "WALKING_DOWNSTAIRS" "tGravityAcc-mean()-Z" -0.0621199585938775
"274" 1 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-X" -0.950559811632653
"275" 1 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Y" -0.937018658979592
"276" 1 "WALKING_DOWNSTAIRS" "tGravityAcc-std()-Z" -0.895939695102041
"277" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-X" 0.0541553164897959
"278" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Y" 0.0296504490408163
"279" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean()-Z" -0.0109719730183673
"280" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-X" -0.012283860544898
"281" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Y" -0.101601390640816
"282" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-std()-Z" -0.345735032326531
"283" 1 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-X" -0.0350781902989796
"284" 1 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Y" -0.0909371290204082
"285" 1 "WALKING_DOWNSTAIRS" "tBodyGyro-mean()-Z" 0.0900850142030612
"286" 1 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-X" -0.458030542938775
"287" 1 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Y" -0.126349194938775
"288" 1 "WALKING_DOWNSTAIRS" "tBodyGyro-std()-Z" -0.124702454242857
"289" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-X" -0.0739592036271429
"290" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Y" -0.0439902783367347
"291" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-mean()-Z" -0.0270461061061224
"292" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-X" -0.487027342244898
"293" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Y" -0.238824827530612
"294" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerk-std()-Z" -0.268761480242857
"295" 1 "WALKING_DOWNSTAIRS" "tBodyAccMag-mean()" 0.0271882914106122
"296" 1 "WALKING_DOWNSTAIRS" "tBodyAccMag-std()" 0.0198843506265306
"297" 1 "WALKING_DOWNSTAIRS" "tGravityAccMag-mean()" 0.0271882914106122
"298" 1 "WALKING_DOWNSTAIRS" "tGravityAccMag-std()" 0.0198843506265306
"299" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-mean()" -0.0894474807979592
"300" 1 "WALKING_DOWNSTAIRS" "tBodyAccJerkMag-std()" -0.0257877197081633
"301" 1 "WALKING_DOWNSTAIRS" "tBodyGyroMag-mean()" -0.0757412543673469
"302" 1 "WALKING_DOWNSTAIRS" "tBodyGyroMag-std()" -0.225724368061224
"303" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-mean()" -0.295463843346939
"304" 1 "WALKING_DOWNSTAIRS" "tBodyGyroJerkMag-std()" -0.306510645530612
"305" 1 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-X" 0.0382291831510204
"306" 1 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Y" 0.00154990783591837
"307" 1 "WALKING_DOWNSTAIRS" "fBodyAcc-mean()-Z" -0.225574471693878
"308" 1 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-X" 0.0243308391387755
"309" 1 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Y" -0.112963739953061
"310" 1 "WALKING_DOWNSTAIRS" "fBodyAcc-std()-Z" -0.297927894693878
"311" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-X" -0.0276638676122449
"312" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Y" -0.12866715764898
"313" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-mean()-Z" -0.288334735714286
"314" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-X" -0.0863278966402041
"315" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Y" -0.134580008877551
"316" 1 "WALKING_DOWNSTAIRS" "fBodyAccJerk-std()-Z" -0.401721464285714
"317" 1 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-X" -0.352449631363265
"318" 1 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Y" -0.0557022524693878
"319" 1 "WALKING_DOWNSTAIRS" "fBodyGyro-mean()-Z" -0.0318694271979592
"320" 1 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-X" -0.495422486102041
"321" 1 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Y" -0.181414728657143
"322" 1 "WALKING_DOWNSTAIRS" "fBodyGyro-std()-Z" -0.238443565306122
"323" 1 "WALKING_DOWNSTAIRS" "fBodyAccMag-mean()" 0.0965845343040816
"324" 1 "WALKING_DOWNSTAIRS" "fBodyAccMag-std()" -0.186530301073469
"325" 1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-mean()" 0.0262184949326531
"326" 1 "WALKING_DOWNSTAIRS" "fBodyBodyAccJerkMag-std()" -0.104052260726531
"327" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-mean()" -0.185720285744898
"328" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroMag-std()" -0.398350390122449
"329" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-mean()" -0.281963359177551
"330" 1 "WALKING_DOWNSTAIRS" "fBodyBodyGyroJerkMag-std()" -0.391919876612245
"331" 1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-X" 0.255461689622641
"332" 1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Y" -0.0239531492643396
"333" 1 "WALKING_UPSTAIRS" "tBodyAcc-mean()-Z" -0.0973020020943396
"334" 1 "WALKING_UPSTAIRS" "tBodyAcc-std()-X" -0.35470802509434
"335" 1 "WALKING_UPSTAIRS" "tBodyAcc-std()-Y" -0.00232026501698113
"336" 1 "WALKING_UPSTAIRS" "tBodyAcc-std()-Z" -0.0194792388471698
"337" 1 "WALKING_UPSTAIRS" "tGravityAcc-mean()-X" 0.89335109754717
"338" 1 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Y" -0.362153364339623
"339" 1 "WALKING_UPSTAIRS" "tGravityAcc-mean()-Z" -0.075402939754717
"340" 1 "WALKING_UPSTAIRS" "tGravityAcc-std()-X" -0.956367027924528
"341" 1 "WALKING_UPSTAIRS" "tGravityAcc-std()-Y" -0.952849233207547
"342" 1 "WALKING_UPSTAIRS" "tGravityAcc-std()-Z" -0.912379410377358
"343" 1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-X" 0.101372729922642
"344" 1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Y" 0.0194863076188679
"345" 1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean()-Z" -0.0455625449113208
"346" 1 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-X" -0.446843887735849
"347" 1 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Y" -0.378274426037736
"348" 1 "WALKING_UPSTAIRS" "tBodyAccJerk-std()-Z" -0.706593530943396
"349" 1 "WALKING_UPSTAIRS" "tBodyGyro-mean()-X" 0.050549379754717
"350" 1 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Y" -0.166170015088679
"351" 1 "WALKING_UPSTAIRS" "tBodyGyro-mean()-Z" 0.0583595463981132
"352" 1 "WALKING_UPSTAIRS" "tBodyGyro-std()-X" -0.544871104528302
